"id","test.temp","instar","mass","age","treat.hs","treat.para","rear.temp.avg","rear.temp.var","test.time","chamber","coll.loc","num.ovp","mass.in.test","mass.out.test","inst.6","inst.7","date.wand","mongo","mass5.2wks","mass5.3wks","mass.p6.wk1","mass.p6.wk2","mass.p6.wk3","date.cull","mass.cull","mass.p7.wk1","num.em","num.coc","num.fail.spin","num.unem","load","num.ecl","live.fem","live.male","para.pup","para.ecl","in.florence","notes","diss.notes","date.hatch.j","date.died.j","date.coll.j","date.ovp.j","date.3.j","date.in.test.j","date.out.test.j","date.4.j","date.5.j","date.6.j","date.7.j","date.wand.j","date5.2wks.j","date5.3wks.j","date.p6.wk1.j","date.p6.wk2.j","date.p6.wk3.j","date.cull.j","date.p7.wk1.j","date.em.j","date.ecl.j","date.p5.1","mass.p5.1","date.p5.2","mass.p5.2","date.p5.3","mass.p5.3","date.p5.4","mass.p5.4","date.p5.5","mass.p5.5","died.toss","time.ovp.dec","time.3.dec","time.in.test.dec","time.out.test.dec","hrs.in.test","delta.mass.test","time.bf.test","time.ovpbf.test","delta.mass.bf.test","ttwand","ttem.w","ttem.h","tt3","tt4","tt5","tt6","tt7","ttcull","ttp5.1","ttp5.2","ttp5.3","ttp5.4","ttp5.5","date.end","ttend","stage"
10,"35","p5.1",NA,NA,"control","np",25,10,"24","marvin","rm",NA,40.82,73.35,NA,NA,"8/17/18",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,209,0,207,NA,215,215,216,219,223,0,NA,229,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,10.35,14.9166666666667,14.9,23.9833333333333,32.53,4.56666666666667,NA,8.72,20,NA,NA,6,10,14,NA,NA,NA,NA,NA,NA,NA,NA,229,20,NA
10,"35","p5.2",NA,NA,"control","np",25,10,"24","marvin","rm",NA,40.82,73.35,NA,NA,"8/17/18",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,209,0,207,NA,215,215,216,219,223,0,NA,229,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,10.35,14.9166666666667,14.9,23.9833333333333,32.53,4.56666666666667,NA,8.72,20,NA,NA,6,10,14,NA,NA,NA,NA,NA,NA,NA,NA,229,20,NA
10,"35","p5.3",NA,NA,"control","np",25,10,"24","marvin","rm",NA,40.82,73.35,NA,NA,"8/17/18",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,209,0,207,NA,215,215,216,219,223,0,NA,229,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,10.35,14.9166666666667,14.9,23.9833333333333,32.53,4.56666666666667,NA,8.72,20,NA,NA,6,10,14,NA,NA,NA,NA,NA,NA,NA,NA,229,20,NA
10,"35","p5.4",NA,NA,"control","np",25,10,"24","marvin","rm",NA,40.82,73.35,NA,NA,"8/17/18",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,209,0,207,NA,215,215,216,219,223,0,NA,229,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,10.35,14.9166666666667,14.9,23.9833333333333,32.53,4.56666666666667,NA,8.72,20,NA,NA,6,10,14,NA,NA,NA,NA,NA,NA,NA,NA,229,20,NA
10,"35","p5.5",NA,NA,"control","np",25,10,"24","marvin","rm",NA,40.82,73.35,NA,NA,"8/17/18",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,209,0,207,NA,215,215,216,219,223,0,NA,229,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,10.35,14.9166666666667,14.9,23.9833333333333,32.53,4.56666666666667,NA,8.72,20,NA,NA,6,10,14,NA,NA,NA,NA,NA,NA,NA,NA,229,20,NA
10,"35","wand",7019.62,20,"control","np",25,10,"24","marvin","rm",NA,40.82,73.35,NA,NA,"8/17/18",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,209,0,207,NA,215,215,216,219,223,0,NA,229,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,10.35,14.9166666666667,14.9,23.9833333333333,32.53,4.56666666666667,NA,8.72,20,NA,NA,6,10,14,NA,NA,NA,NA,NA,NA,NA,NA,229,20,NA
100,"35","3",25.77,7,"control","p",25,10,NA,"marvin","rm",1,33.9,78.49,1,NA,NA,0,0,0,0,0,0,NA,NA,0,5,4,1,NA,5,0,NA,NA,NA,NA,NA,"wasp cocoons culled on 10/9/18",NA,209,0,207,216,216,216,217,220,225,230,NA,NA,0,0,0,0,0,NA,0,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.6,13.9,18.0833333333333,17.9166666666667,23.8333333333333,44.59,4.18333333333333,2.48333333333333,8.13,NA,17,24,7,11,16,21,NA,NA,NA,NA,NA,NA,NA,233,24,NA
100,"35","4",61.24,11,"control","p",25,10,NA,"marvin","rm",1,33.9,78.49,1,NA,NA,0,0,0,0,0,0,NA,NA,0,5,4,1,NA,5,0,NA,NA,NA,NA,NA,"wasp cocoons culled on 10/9/18",NA,209,0,207,216,216,216,217,220,225,230,NA,NA,0,0,0,0,0,NA,0,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.6,13.9,18.0833333333333,17.9166666666667,23.8333333333333,44.59,4.18333333333333,2.48333333333333,8.13,NA,17,24,7,11,16,21,NA,NA,NA,NA,NA,NA,NA,233,24,NA
100,"35","5",190.12,16,"control","p",25,10,NA,"marvin","rm",1,33.9,78.49,1,NA,NA,0,0,0,0,0,0,NA,NA,0,5,4,1,NA,5,0,NA,NA,NA,NA,NA,"wasp cocoons culled on 10/9/18",NA,209,0,207,216,216,216,217,220,225,230,NA,NA,0,0,0,0,0,NA,0,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.6,13.9,18.0833333333333,17.9166666666667,23.8333333333333,44.59,4.18333333333333,2.48333333333333,8.13,NA,17,24,7,11,16,21,NA,NA,NA,NA,NA,NA,NA,233,24,NA
100,"35","6",1910.41,21,"control","p",25,10,NA,"marvin","rm",1,33.9,78.49,1,NA,NA,0,0,0,0,0,0,NA,NA,0,5,4,1,NA,5,0,NA,NA,NA,NA,NA,"wasp cocoons culled on 10/9/18",NA,209,0,207,216,216,216,217,220,225,230,NA,NA,0,0,0,0,0,NA,0,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.6,13.9,18.0833333333333,17.9166666666667,23.8333333333333,44.59,4.18333333333333,2.48333333333333,8.13,NA,17,24,7,11,16,21,NA,NA,NA,NA,NA,NA,NA,233,24,NA
